Inverses and integers in base E
(1/1)base E   00001.000000000000000000000000000000000001, diff = -2.220446049250313e-16
(148)base   E  21211.01120000000210211212001100111011!3, diff = 0
(149)base   E  21212.01120000000210211212001100111011!3, diff = 0
(150)base   E  22000.11211121101021012001011212000211!3, diff = 0
(151)base   E  22001.11211121101021012001011212000211!3, diff = 0
(152)base   E  22002.11211121101021012001011212000211!3, diff = 0
(153)base   E  22010.21020212011212011210012011111021!3, diff = 0
(154)base   E  22011.21020212011212011210012011111021!3, diff = 0
(155)base   E  22020.01101112101000111000110021211011!3, diff = 0
(156)base   E  22021.01101112101000111000110021211011!3, diff = 0
(157)base   E  22100.01201020020102020112010120200021!3, diff = 0
(158)base   E  22101.01201020020102020112010120200021!3, diff = 0
(159)base   E  22102.01201020020102020112010120200021!3, diff = 0
(160)base   E  22110.11010111001210110200012101000201!3, diff = 0
(161)base   E  22111.11010111001210110200012101000201!3, diff = 0
(162)base   E  22112.11010111001210110200012101000201!3, diff = 0
(163)base   E  22120.20110101212020101210001010201101!3, diff = 0
(164)base   E  !30000.01110020202102010001112012002021!3, diff = 0
(165)base   E  !30001.01110020202102010001112012002021!3, diff = 0
(166)base   E  !30002.01110020202102010001112012002021!3, diff = 0
(167)base   E  !30010.10210011200020011100112101100201!3, diff = 0
(168)base   E  !30011.10210011200020011100112101100201!3, diff = 0
(169)base   E  !30012.10210011200020011100112101100201!3, diff = 0
(170)base   E  !30020.20012011111010202101001112111121!3, diff = 0
(171)base   E  !30021.20012011111010202101001112111121!3, diff = 0
(172)base   E  !30100.20111210001102101110200211112011!3, diff = 0
(173)base   E  !30101.20111210001102101110200211112011!3, diff = 0
Base E encoding for Phi        00001.112020121110010020000201200111001210, diff = -2.220446049250313e-16
Base E encoding for Phi^2      00002.112020121110010020000201200111001210, diff = -4.440892098500626e-16
Base E encoding for Phi^3      00011.110020101102100211111001111012012001, diff = 0
Base E encoding for Phi^4      00021.100212110120212001200210101200112101, diff = 0
Base E encoding for Phi^5      00110.21201201100111011000002102100010011!3, diff = 0
Base E encoding for Phi^6      00210.101112001112100121202111002020001!3, diff = 0
Base E encoding for E          00010.000000000000000000000000000000000010, diff = -4.440892098500626e-16
Base E encoding for E^2        00100.000000000000000000000000000000000001, diff = 0
Base E encoding for E^E        00200.10001011202020120210001101210011101!3, diff = 0
Base E encoding for PI         00010.101002020002111120020101120001011000, diff = -4.440892098500626e-16
Base E encoding for SQRT2      00001.100211011011121120001121000000010011, diff = -2.220446049250313e-16
Base E encoding for SQRT3      00001.121210010001102001201201101002120001, diff = -2.220446049250313e-16
Base E encoding for SQRT5      00002.012000101212111012100121200012111100, diff = -4.440892098500626e-16
Base E encoding for SQRT6      00002.101120000012101102001021001201001120, diff = -4.440892098500626e-16
Base E encoding for 5dot9      00020.101210211211121020211120210010100121, diff = 0
Base E encoding for 6dot9      00021.101210211211121020211120210010100121, diff = 0
Base E encoding for m235       00002.120111201001102010101110112111001200, diff = -4.440892098500626e-16
Base E encoding for Geo2       00001.011101102012100020012010012001100210, diff = -2.220446049250313e-16
Base E encoding for Geo-2      00012.002011110202120021100112111210011121, diff = 0
Base E encoding for Geo3       00001.021210210020211202000200200011012101, diff = -2.220446049250313e-16
Base E encoding for Geo-3      00010.000020002100010002012000011011102020, diff = -4.440892098500626e-16
Base E encoding for Geo7       00001.201200020011200101102101100120121102, diff = -2.220446049250313e-16
Base E encoding for Geo-7      00001.011112000211110202002120100002020002, diff = -2.220446049250313e-16
Base E encoding for 7dot9      00100.110010100120001200210010112020010121, diff = 0
